2000 1000 100
0 321 1400 321
0 557 1190 557
0 768 2000 768
1000 928 1000 1000
1000 979 1101 979
1027 979 1027 1000
1060 979 1060 1000
1101 928 1101 1000
1101 985 1193 985
1101 993 1193 993
1101 998 1193 998
1165 993 1165 998
1170 321 1170 557
1173 0 1173 113
1176 0 1176 113
1180 0 1180 113
1180 39 1185 39
1185 0 1185 113
1188 0 1188 113
1190 321 1190 768
1190 588 1400 588
1190 600 1400 600
1190 601 1400 601
1190 605 1194 605
1190 607 1194 607
1190 608 1194 608
1190 609 1194 609
1190 610 1194 610
1190 630 1191 630
1190 655 1194 655
1190 724 1191 724
1190 751 1191 751
1191 605 1191 607
1191 607 1191 608
1191 610 1191 655
1191 655 1191 768
1191 736 1192 736
1192 655 1192 768
1192 741 1194 741
1193 605 1193 607
1193 610 1193 655
1193 639 1194 639
1193 644 1194 644
1193 768 1193 1000
1193 792 1995 792
1194 601 1194 768
1198 0 1198 113
1198 31 1211 31
1198 71 1211 71
1211 0 1211 113
1239 601 1239 768
1239 694 1400 694
1363 0 1363 113
1400 0 1400 768
1400 206 1434 206
1400 42 1428 42
1428 0 1428 206
1428 56 1434 56
1434 0 1434 768
168 768 168 1000
168 919 186 919
168 959 186 959
1693 0 1693 768
1700 0 1700 768
1705 0 1705 768
1705 39 2000 39
186 768 186 1000
186 769 758 769
186 850 758 850
186 918 758 918
186 963 758 963
1867 792 1867 1000
192 850 192 918
1995 768 1995 1000
1995 835 2000 835
1995 855 2000 855
1995 856 2000 856
1995 964 2000 964
1995 978 1997 978
1995 979 1997 979
1995 980 1997 980
1995 992 1997 992
1996 964 1996 978
1996 992 1996 1000
1996 998 1997 998
1997 964 1997 1000
420 321 420 557
484 0 484 321
484 113 1400 113
484 245 1400 245
484 301 1400 301
484 99 1173 99
515 557 515 768
566 557 566 768
633 850 633 918
672 768 672 769
705 768 705 769
758 768 758 1000
758 843 1193 843
758 928 1193 928
