100 1000
92 99 11998902
59 60 234914790
10 27 97042599
71 95 273912328
82 18 148258002
49 93 378223041
96 94 810785786
67 38 488444
24 96 377086413
43 66 759409057
77 98 282946667
26 22 944855513
47 80 786497724
42 80 556651162
16 7 377203657
64 95 287122550
54 80 239081666
53 37 431670763
84 54 667451131
93 76 890267802
17 53 698316455
53 25 527662422
64 62 74010279
96 69 985416313
96 67 86568749
29 14 896842627
50 52 402202356
97 56 462490730
68 60 402569109
77 99 277197710
87 74 366915355
1 24 950465000
40 46 327449693
20 14 326363798
33 91 615266162
34 63 883366631
77 88 331534360
5 80 618890568
43 61 479135180
26 31 168495305
43 95 243045829
45 51 532117923
83 86 86191023
42 0 376098632
62 77 894475791
45 67 244248206
9 52 683814048
93 58 596574061
80 86 799511364
53 77 864190418
93 11 994096460
31 90 442081836
93 92 336450816
29 36 82319069
74 12 371180613
97 34 430595258
34 52 803605983
81 55 241213170
28 47 812580112
23 87 67455017
90 98 706259907
93 60 957818010
80 69 177997409
64 88 490848337
52 73 955072114
77 78 315517546
32 74 620528653
50 51 320480831
9 0 171093773
4 89 275599766
9 18 147411772
90 97 29498480
44 22 421641315
88 89 312508108
76 0 588756478
29 55 782024135
30 89 16611301
98 99 840753648
63 55 862895922
53 46 624166984
96 58 86571450
36 5 565644364
60 32 650642187
56 88 719424593
98 76 485811396
95 67 719017095
35 89 205810890
64 93 25820823
89 42 469290049
22 5 578964176
46 79 548624055
76 53 169921403
34 76 798349279
93 85 374441691
47 93 837325575
67 75 574617892
19 72 863885359
29 51 938730831
50 28 688915348
43 26 960928638
73 82 43978040
33 68 151307997
55 13 572156645
92 26 299096817
11 82 361821438
60 89 183976545
42 70 568652786
76 7 818134613
80 76 580141907
86 75 852868293
11 1 212576155
67 10 658707552
62 40 686225970
69 37 432185213
73 20 320523240
70 74 465970045
24 72 776620796
34 46 396179748
56 44 124461054
67 22 788812964
56 28 939691506
71 15 5465760
25 45 746779083
21 23 791299537
61 59 864664897
18 43 481411201
46 87 194858464
83 68 327248567
12 75 185106398
83 25 556703105
6 13 913263955
42 49 948790276
10 52 85919928
89 56 539859178
37 63 183548806
15 61 416279392
87 75 908251121
45 61 410122304
39 71 815794230
73 30 954539422
72 53 963845480
38 18 449211503
96 93 259042200
73 90 208598604
61 82 212999773
71 53 846792338
36 72 108125103
77 79 525787113
41 56 407905301
87 90 52525498
15 13 147138288
48 85 771495839
76 77 116521716
96 98 175611507
17 62 717989090
17 3 365135103
37 89 498064555
99 69 255745139
36 60 761879130
42 66 730417302
98 5 552131234
88 83 53821996
23 35 312189270
24 36 242928899
42 39 382474413
90 83 594046536
55 59 117721067
74 69 936464318
51 77 871262454
87 65 39117019
33 75 107030297
43 45 876691692
67 84 332477200
95 81 52016689
96 19 667688302
75 93 808445254
26 2 579421567
64 37 264533510
94 98 637309334
69 11 833866460
75 65 675322749
94 93 554911891
89 71 799076648
0 60 110303698
87 73 980607100
69 62 430385525
27 2 625946939
46 52 809119754
93 28 432899789
92 79 357191839
98 29 624874823
36 12 211270394
34 92 19979774
81 78 654008163
6 68 221475633
94 4 92529688
75 98 97182546
91 95 446105330
11 28 442948238
80 93 503902631
73 92 602452039
50 89 753064737
6 16 306830624
60 57 319447834
71 68 760222076
33 63 319289664
79 71 95673243
3 78 972206817
15 7 102064307
10 8 536704416
89 17 705659091
67 5 621924603
67 54 471370123
59 69 681876743
70 89 117536743
93 99 898191109
13 19 218391680
47 65 637136384
15 42 284530172
3 71 205414209
77 11 589522007
35 43 153261324
24 20 60112738
72 35 480267757
68 15 824796863
48 40 102395001
65 20 909735353
57 40 591155330
54 9 61533423
72 29 830661042
57 86 804827039
56 33 500197483
39 73 992489105
64 54 743873871
3 25 893792290
18 62 604782880
1 10 897934796
87 96 956980186
97 81 803407789
83 28 189230336
56 72 61722176
71 97 4918196
86 71 395221910
1 5 63817792
41 9 26842669
76 84 708968226
57 66 658243170
75 76 450149233
82 56 267194905
85 63 263417489
66 67 4950759
72 3 796215620
1 8 136104985
76 24 613004928
29 46 209261025
30 62 640702509
17 5 878772009
96 81 854619273
60 56 177919279
50 96 49128241
66 9 470164346
99 87 994574939
78 72 600447641
66 86 262649638
54 5 299108141
54 59 526276777
55 24 645074832
11 4 3579407
74 5 115659981
39 64 465646036
89 59 306431415
91 76 977253527
62 85 462743278
60 66 732360717
17 11 950528164
53 44 293592304
17 69 509056450
68 72 934736421
5 76 903672283
1 6 888225291
44 8 735731037
94 58 234020670
66 69 899353971
31 89 859943719
65 13 101359301
88 65 545551313
43 88 379092659
39 18 269096378
57 36 213653186
18 56 610001300
50 36 461949305
99 96 447375990
44 90 242325953
95 18 7495744
46 26 771820986
22 23 83529735
33 59 330766220
14 95 185250407
70 50 115082833
36 15 124155055
35 9 289671328
47 60 689204270
3 40 312401440
84 78 55694295
30 88 146706886
2 19 550545767
79 59 558975928
20 48 518627297
6 5 188926161
56 48 939911730
54 49 346851761
41 73 170512049
87 83 481245877
98 93 367436021
74 90 792839781
36 56 936126701
40 26 702012083
78 51 79292252
71 29 426933445
67 70 596991706
87 34 846240907
1 44 750034201
80 40 181174828
17 74 300706822
95 97 600978883
60 33 220507091
3 77 893963565
92 20 415755809
98 95 352641726
93 59 595286813
43 87 968938461
37 9 233652353
30 67 877197195
69 86 405007462
81 83 101971267
20 44 66251840
71 19 24362570
52 7 388233243
67 16 712808040
51 37 554086809
30 22 791484756
65 94 129940234
59 66 509543464
91 74 538199517
87 69 758741941
99 35 585345686
22 38 767816355
39 75 39728300
55 7 771744885
92 44 956471401
96 88 526000022
59 94 497983236
70 31 647227075
53 15 699603641
30 87 703257625
75 78 584167349
84 97 150608796
76 74 272870065
86 88 971474377
50 57 134895733
89 75 863437847
81 39 110924687
48 34 378687950
12 20 688730310
13 48 523425664
0 1 109471876
79 83 688609410
82 80 373902561
64 78 527408218
16 1 106385419
93 91 285245281
96 95 104533925
81 76 164723385
83 73 402120333
66 10 864651521
80 45 427020927
95 82 634999279
67 8 849608028
53 66 481006922
54 75 33551474
35 10 70951251
87 91 985460814
92 90 1066622
96 97 534703735
44 54 864001287
20 94 958548916
24 41 305492484
49 87 807822992
52 97 860970069
86 87 471366853
30 13 660782538
58 45 391032816
90 80 555226366
53 62 135155465
55 26 230363353
88 99 476842690
7 67 933952449
20 33 796069482
91 62 621278444
99 73 246696137
54 72 922133678
91 84 976850596
92 95 545146700
96 85 134248686
30 41 314992488
96 52 858232582
93 95 257260413
49 76 874581985
96 82 850839172
0 8 543906626
56 9 249166807
37 81 976259850
62 38 613601776
24 75 584163058
91 81 808989589
31 29 254269955
88 94 293347017
48 24 669890097
54 35 862050485
63 73 939575081
97 39 42953180
27 94 666579395
54 42 12155266
59 77 343106596
86 98 731407370
52 53 322990350
90 86 610714781
9 26 256100745
89 16 722121808
11 30 848832837
66 29 967603508
73 7 450268291
82 21 807758502
65 14 785167210
84 63 368267294
82 37 662203852
74 99 853616131
33 79 937792928
88 93 733265104
91 52 565802113
72 69 400478245
98 43 661357917
97 78 249941028
26 58 686173369
80 72 980683882
85 89 582747146
88 75 992115887
65 59 852202250
34 30 894234414
35 29 585894156
78 86 751964136
85 86 565626922
33 2 88937273
59 95 763258001
6 54 331969971
41 17 217630925
44 40 69245496
94 91 400017248
98 64 695139993
42 47 368507042
39 60 514546264
69 42 50964901
34 24 750854717
11 18 490533398
41 86 99305804
21 65 915481267
88 51 852973170
86 95 101191725
57 71 498497103
62 55 277168760
91 92 715654848
92 89 797135261
16 79 557579369
76 58 629695941
94 75 635853875
85 84 597252544
30 55 529172256
86 22 381753704
62 13 670463962
95 56 83318117
31 38 243461755
62 66 981556230
85 36 126766099
87 97 234269698
99 55 348536289
16 49 43719650
68 76 280516644
38 4 655097641
30 50 565154956
98 82 185359153
94 64 942905225
88 80 676100565
39 88 942055959
53 48 759083930
90 75 633664729
22 48 923442788
8 79 580849704
81 62 27109570
75 17 257174920
88 72 855859467
54 50 13006236
38 6 340766833
61 12 327302113
98 78 612965723
24 6 601957996
75 92 842885678
89 98 593955215
95 68 133812244
77 39 219158893
51 91 127922025
16 8 314993867
56 92 767243366
19 70 451357289
32 90 168619926
97 55 868099689
95 5 669491102
7 31 126304429
84 94 313913797
32 85 485758721
32 96 149518878
26 48 307038833
64 57 367811576
44 10 510249294
0 90 252146333
92 76 320336198
42 88 119748767
56 6 455615595
47 70 474508268
70 82 436931581
81 68 785797399
6 14 429656991
37 75 647734281
86 81 124916785
9 21 382480293
58 61 165572939
78 85 417197495
45 6 115463304
54 78 598795871
79 66 297765421
12 83 8520145
47 14 112870221
44 14 144029753
74 14 192540329
84 95 910813367
73 51 64189373
29 4 970801482
95 94 263296237
57 89 636878457
3 0 198139831
86 96 673106239
64 19 387303646
95 80 588874645
33 42 711045862
26 97 926152553
83 76 552372432
46 69 290195058
66 91 459731791
23 39 90055918
48 94 285778538
92 74 748971036
97 92 365555466
12 27 584599582
72 49 680112446
40 8 427377397
93 50 823824581
49 29 818256237
74 71 738566870
46 48 16184728
61 83 491213414
8 63 845234812
35 11 460503944
13 35 961085733
46 78 36089159
8 81 906748489
62 5 921755660
31 80 904902671
88 78 311731731
1 56 765903365
22 88 457679500
49 83 787821906
71 94 556271893
73 25 119109471
47 1 224641622
92 86 880305545
51 28 165346527
87 64 652707080
63 53 64388092
72 93 615577475
45 99 829761571
57 6 864160096
40 41 683084311
39 0 285867458
99 63 577156557
22 59 278251918
85 95 675890282
38 75 999249413
5 12 397278846
22 93 274661628
84 99 217729925
40 86 636325404
18 1 30914375
91 39 657252868
82 81 268737822
92 70 185096225
82 48 957716023
5 83 201698259
17 70 760205713
70 85 188882662
40 70 846178813
94 99 779593114
87 77 272331584
95 75 964028810
79 20 993445689
79 39 633167076
42 99 862684716
75 72 234372188
95 78 689153450
4 51 933851267
80 87 738107651
78 76 640918930
76 11 694729810
86 1 806181611
50 98 852442357
93 63 945146707
95 77 955023392
65 33 492131135
58 49 149469903
29 41 282972103
15 55 762382576
85 49 397853696
62 88 893768468
61 27 833966466
5 81 49979856
41 81 23869779
65 85 572923751
98 80 714831330
84 59 180928765
62 15 760589345
30 90 738170087
24 23 531462674
57 80 820772168
22 87 892521603
72 50 864794894
51 75 716290675
37 22 464579661
84 68 590339424
87 9 359373916
67 92 136319217
49 90 410078164
30 93 361404510
0 87 94841906
42 18 571510722
72 45 312464314
78 10 316829825
34 38 829584932
57 9 949989848
37 25 52959885
0 59 433412301
16 82 220703774
78 32 766332786
95 22 797298267
91 96 665413570
18 51 290789046
47 27 412364075
83 50 113661663
13 61 656976429
53 83 368794002
90 60 832888695
37 6 442852689
27 99 64545844
56 15 487539254
75 85 403878412
40 28 143778347
92 59 712361673
85 82 579843891
95 35 676825583
42 22 160486908
83 70 412823492
10 41 628739617
79 14 199224363
62 27 677987134
1 78 314340700
93 52 892542368
40 81 280405436
49 80 699038889
50 47 80537628
89 38 881791876
96 90 589990892
72 42 127237884
93 37 71495752
15 1 94631572
26 84 445856795
68 85 680869637
77 15 194359216
42 38 66210686
20 70 384964169
80 73 74099984
69 50 487856770
94 97 513557432
8 97 130225762
65 1 490029474
79 2 982156324
89 53 677873035
13 11 134207741
17 28 527130094
25 98 304058352
12 73 167216765
95 99 44130235
66 45 241588566
91 14 595839954
56 40 325094073
43 55 179002413
4 3 251851241
59 8 928651706
13 91 186523927
45 44 693898298
45 46 738400278
29 77 754269699
80 99 86346296
54 81 493807652
98 52 88186143
78 92 691222019
22 57 981729684
20 82 537602891
47 81 140606590
51 81 156138498
9 24 851358676
97 61 172627274
78 91 10951485
50 99 816522670
82 94 204210694
53 84 989379158
20 85 149364319
13 17 539637750
70 86 759596312
79 99 99086967
52 70 966889284
84 74 322973467
75 52 807800020
94 45 412031004
10 93 149682217
90 68 625053374
70 80 799978345
5 44 953212781
