1000 100000
594 902 851066510
256 23 271877574
834 428 75254522
130 497 756895641
948 154 25862515
434 304 260098170
386 877 414708831
999 931 625092924
432 676 404888820
919 908 144808057
379 665 584311400
484 116 6124398
587 665 967083427
913 740 681029388
417 407 760392093
497 869 146995214
606 853 411844439
489 326 665274488
446 2 938907387
405 486 155619211
872 670 57745152
376 650 388457410
572 725 557327932
965 596 401337270
686 694 93681684
438 762 523844743
588 129 200296861
461 955 673360967
810 931 892642445
677 992 356371624
578 25 54870558
929 501 321126668
433 289 592679466
828 873 185341005
340 562 16620452
725 578 589460220
468 120 648975066
802 264 384670201
31 827 342479834
812 294 248018436
884 561 292749513
723 397 758630350
738 905 805527573
955 460 590261018
157 853 72464020
727 588 407189692
140 183 387621990
329 121 719514110
410 55 906879395
826 574 275571889
937 744 658492447
579 601 779489062
568 923 529783871
535 420 5373874
967 987 447164029
515 92 792435004
745 729 987294699
517 228 407097493
587 914 770835473
627 258 122112600
649 391 388901639
4 644 389691381
342 701 248439128
997 877 967924596
39 947 73215935
792 578 45825583
791 898 512194614
493 120 253203414
443 940 647691117
954 902 347410073
890 262 108368671
222 745 496495843
454 368 52234726
68 893 86779202
294 637 620572851
275 781 637403352
791 236 234895166
784 772 157558943
501 363 902061497
609 787 141202584
400 178 645263361
665 910 291965092
830 622 574098358
19 69 830076120
346 988 665564919
878 911 297624360
972 489 834655265
885 58 256901746
787 867 941388581
105 855 935816070
913 932 374999079
839 612 596181537
807 888 118588324
552 379 998470360
679 163 232145310
540 973 740966560
964 75 447475643
732 588 738839648
927 784 780143419
668 876 139735676
555 387 534627997
391 333 877182852
595 227 682075897
674 595 599820906
865 807 182215681
899 329 423658328
867 520 391251303
67 478 433175132
662 443 750533046
822 297 280546310
824 669 263865676
657 550 135746770
530 171 828927581
140 147 160966969
821 788 369619149
510 148 252382064
113 866 682864296
96 295 458933939
614 522 298629630
517 829 752686885
794 778 159602871
436 929 168019092
522 874 532084618
588 87 232782129
234 452 31118060
837 298 444987574
87 0 616212945
589 677 300394581
470 607 93330677
92 589 677790829
171 830 113263995
642 931 357613602
916 628 325839716
454 855 901112237
437 928 170240394
524 888 991961161
900 92 837051279
545 595 712003387
186 604 682821598
511 165 129047971
